9SIA9F94KY3819,2YM-000N-00063,11/24/2016 4:23:38 AM,Anonymous,Feels like good quality,5, the plastic is thick and doesn't kink easily. I'll post more info after I build the loop and it's been running for a couple of months., none so far., bought way more then I needed.,None,None
9SIA4RE4RT4150,35-118-145,11/25/2013 1:27:42 PM,Amanda H.,Cools sufficiently...NOT worth the Money,1, After a little bit of tinkering....this cooler does manage to displace a lot of heat generated from two different CPUs.  I have tried this with an FX-8350 and FX-9590 and was able to adequately cool them both.  Was able to run both chips clocked at 5ghz with idle temps averaging 35 degrees C.  Please read Cons for further temperature issues.," First we will start with temps.  With my fx-9590 at stock speeds and settings...I was not able to run Prime95 for more than 2 minutes before hitting temps of +80 degrees C....even after adding another 120mm fan for a push/pull configuration.  For making the claim of being able to effectively displace 400W of heat...I feel like I should be able to really push the 9590 at stock settings and not worry about temperatures one bit.This cooler is SO LOUD.  Hands down the loudest fan I have ever experienced in real life.  This one fan alone was louder than my four 140MM fans and 3 200mm fans all on high put together.  Even after tinkering with speeds in the BIOS the only way I was able to get the noise levels down was by applying a PWM resistor (the one that comes with the Zalman 9900MAX) fo the attached fan.Thermal Grease.  For spending more than $100 on a cooler...it should come with a decent quality thermal grease.  I was not happy with the performance of the cooler after initial installation so I removed the cooler and applied some Artic Silver that I had in the house and immediately saw a drop of about 8 degrees on average temps.Configuration Options.  For spending so much on this cooler...your only option is to bolt it in and that's it.  You can only install with the fans blowing in exhaust do to the fact that the 120mm fan is not removable.  Another thing I think this cooler is missing is hardware and software to be able to adjust fan settings to different temps/modes.Conclusion:  In reference to this cooler vs others on the market....you are getting no additional performance whatsoever for the extra money that you are spending.  To be honest...the cooler that came packaged with my 9590 works a little bit better than this one, has more configuration options, and is cheaper.What you are paying for ultimately is a cooler that looks different than the others out there....that's about it.",,3,7
9SIA4RE4RT4150,35-118-145,11/22/2013 7:57:13 AM,Elena C.,L O U D !!!!!,2," -Heavy, well built, nice blue lighting, relatively easy to install. Seems to do a nice job of cooling..temps lower tha before...so that's really the most important point. But, still, to get great cooling there are lot of other CPU Water Cooler out there that are much quieter."," LOUD!!!! This cooler sounds like a vacuum cleaner! Even when I go into BIOS and adjust the fan settings to low, this thing still wants to hum and whirrrrrr. Very annoying. I have this mounted in the new Enthoo Primo Phanteks case, and so there is plenty of room to spare for THD (Total Harmonic Distortion) but I gotta tell you, this cooler even emits a high pitched hum that's even more annoying!", I will continue to try adjusting the fan speed settings via BIOS but I may well return this and get something else.,1,2
9SIA4RE4RT4150,35-118-145,11/14/2013 3:54:49 PM,juan h.,A jet engine in a box,3, Seems to keep my CPU cool (25c idling a i7-4770K at just over 4GHz).Does not cause the motherboard to rattle.Pump seems silent.Fan makes me appreciate how quiet my old heat sink was., The fan is incredibly noisy. It is clearly audible in the next room with the door shut.Fan speed doesn't appear to throttle down.Requires an extra hand to install.," I was sad to get rid of my Thermaltake Sleeve, as it's awesome to look at and almost silent, but it was starting to rattle after being swapped to a new motherboard, so I got this one, figuring I wouldn't have that problem with the mounting board.Once I got everything in place and powered up, I was immediately struck by the noise. I have a HAF XB case (because I like cubes more than other parallelpipeds) so the case provides no muffling. This has never been an issue before, but it seems to be now.I don't have a sustained CPU stressor but popping Mathematica's benchmark dealie caused a brief spike in CPU temp from 25 idle to 40 while working most stuff to a max of 63. Ambient room temp is probably just above 10 as all my windows are open and it's about 9 outside. (Yes, centigrade.)I'll tool around in Skyrim and WoW tonight to see if it stays that way.I imagine I'll get used to the noise or just wear headphones while gaming from now on.",0,1
9SIA4RE4RT4150,35-118-145,10/22/2013 9:06:02 AM,Carlos C.,almost fryed cpu,1, looks cool, ran hot as hell !, installed in my new build with Intel 4770K and temperature started at 60-c and it just kept climbing 80-c +. Stock cooler is running 42-c,0,5
9SIA4RE4RT4150,35-118-145,10/17/2013 12:05:36 PM,Joshua R.,Impressed,4, This is an amazing cooler.  I have an older board and CPU AMD 955 BE x4.  Stock cooler for a few years now and can see an instant change in temps.  The blue light is not over powering in the case which I consider a Pro.  Fan is also quiet. VERY noticeable difference in VRM temps with this cooler.Temps Stock Cooler - 38c Idle - 56c Under LoadTemps Zalma RM3 - 28c Idle - 40c Under Load," Shroud - Zalman really needs to improve the shroud I do not want a bigger shroud as this would defeat the awesome VRM temps I now have.  They need a heavy duty version of the shroud that is on it now. This is where I dropped 1 egg from the rating.  It is flimsy as is.Color - They really need to offer at least Blue and Red versions of this cooler for builders going for certain looks. But not dropping an egg for this as it is aesthetics.Pump - If like me your tower sits on the desk right next to you the pump can be heard but just barley.  I'm not going to knock and egg when I have a Cooler Master HAF 922 sitting inches from my face and I can hear the pump, but if you are looking for a silent option this is not it. And you won't find much of one for a gaming rig."," When doing the install for this I would recommend having a friend to help, four hands made this an easy install.  Doing this by yourself could be difficult when mounting the pump.  I would recommend that you install the fan first hopefully this is common sense to most people.I would like to test a push/pull config to see how much further I could get the temps to drop and would be recommended for anyone doing some serious over clocking as you should get a better return.Even though I can hear the pump slightly it is a new noise to me and is not very loud at all, some reviews I have read complain non stop about this.  If you are looking for a silent case then good luck with a gaming rig this can be hard to do and pretty expensive with passive water cooler towers.  Again you shouldn't notice the pump sounds if your case sits under your desk or away from you.  Mine just happens to only have room mere inches from me. My 3 200mm fans drown out most noises once I start gaming but is much quieter than the stock CPU fan running at 4400 rpm.Cooler Master HAF 922GA-MA790FX-UD5PAMD Phenom II 955 BE x4 3.2GhzCorsair Dominator DDR2 1033 4x2GbSilverstone ST-60",2,2
9SIA4RE4RT4150,35-118-145,10/12/2013 10:33:37 AM,todd h.,I like!!,4," Nice install--versatile.Looks good, clean."," None other than the temps weren't good without adding pull fan.I took an egg for that-- just seems incomplete, and performance lacked without it......so close Zalman!!"," You WILL want to add a pull fan. Temps weren't happy until I installed the pull fan -was like night and day different, I was impressed with it then.",None,None
9SIA4RE4RT4150,35-118-145,10/8/2013 2:42:49 PM,pereira a.,"horrible mounting, Great Cooler",4," The cooler runs amazing... i know my cpu is old but it keeps my 965 BE OC 4.2 ghz @ 31c on idle and then when i stressed it for an hour it never went above 50cand as soon as the stress test ends the temps drop back down to 31-33 amazingly fast.   my MB temps have dropped a whole 10c ( 29 while its on load )  i have the Sabertooth 990fx and the VRM cooler is right under the fan, keeps it cool.   Satisfied with the cooling"," I have to say, that the mounting is  the worst i have seen in a LONG time. i wasted about 3-4 applications of thermal grease ( Tuniq TX-4 Extreme ), luckily i had the big one lol...Zalman, i hope a rep reads this, the cooler works great,  but the mounting mechanism needs to be scrapped. im sorry.  its also a tad loud on max but honestly it doesnt need to be max, on the fact i have not seen a difference in temps between max and low", Antec 900 Blue caseASUS Sabertooth 990FXAMD Phenom II x4 965 @ 4.2 ghz ( NB 2600 )8 GB ddr3 1600 Gskill ( @ 1333 with faster timings for OC )ASUS 560 Ti DirectCU II OC+ ( my OC on top of that ),None,None
9SIA4RE4RT4150,35-118-145,9/29/2013 1:54:16 AM,Robert E.,It works,4," Drops the temperature 5 degrees C. versus the stock Intel fan.  Intel Core i7 4770K runs 30 to 31 degrees C. with no load and no fan tweaking, whereas my former i7 965 ran 35 to 36 degrees.  So this is not an apples/apples test and doesn't say anything about performance under load or with overclocking.Blue LED lights go with the lighting scheme of my build."," Not actually a con, but be sure to note the dimensions and check that this will fit your case.  From the pictures, it looks like it will have the same footprint as a 120mm case fan, but it's actually quite a bit larger.  Also, the radiator fan shroud is flexible, so MAKE SURE nothing touches it or the shroud will distort and the fan will rub against the shroud.  Deducted one egg for this overly delicate and finicky shroud."," Mounted this in the lower rear 120mm fan position of my Antec1200 case, per Antec recco.  The radiator hose fittings encroach into the top PCIE card slot, rendering that slot unusable.  Also, the top 120mm fan cannot be used.  I installed a 120mm to 80mm fan adapter so that I could at least mount an 80mm fan in the top slot, but I had to remove material from the adapter so that it would not touch the radiator fan shroud of the Zalman.",None,None
9SIA4RE4RT4150,35-118-145,9/28/2013 6:30:32 PM,Anonymous,Follow-up to 9/12/13 review,5," Everything I said in my other review.PWM will keep it quiet if the RPM is kept under 1800.The shape & lack of shrouding does seem to help keep voltage regulators & other nearby hardware a little cooler. FX-6300 with slight overclock never goes above 25C, with the ambient temp is around 65-70F."," Most of the same as said before. A couple of times it has made a weird whine/hissing noise. Tilting the entire machine on it's side seems to clear this up. Not sure if it was a flow problem or what. Because of this, tried mounting the reserator with the tubing on the bottom, but my case doesn't allow that. (Those of you with a regular tower case won't have issues here. My HAF XB lays flat so the I/O panel blocks the tubes if I try to adjust it's angle.)"," After enabling 'Silent' mode for the fan in my UEFI, it's extremely quite. Around 1800+ RPM is where it starts to become noticeable, but on 'Silent' mode it's hovering around 1500-1700 RPM. It's just barely louder than my Cougar CF-V14HPs. The shrouding I mentioned in my last review (or lack of) does seem to do what it's supposed to do. With noise no longer an issue, having the ability to cool nearby hardware is a cool bonus. So after some use, it's really recommend this to anyone looking to add liquid cooling to their machine.",2,3
9SIA4RE4RT4150,35-118-145,9/17/2013 4:18:42 PM,Matthew T.,"Good cooler with great looks, loud fan",4, This cooler seems to keep my fx-9590 at around 38c Idle (downclocking on) and around 50-54C during BF3 at 2560x1440 max settings.  I can't seem to find many people with this CPU to compare temps to but for a 220W part I would say that's some great cooling.  I love looking inside my case and seeing the cooler... its a very aesthetically pleasing design.  Overall I am happy with the product., Installation was somewhat painful but I did not degraded the product based on that.  My biggest complaint is the fan noise.  Above 1800 RPM the fan becomes very loud.  This is my first water cooling setup and didn't expect such loud fan noise.  To be fair though I am running a ridiculously high wattage part and some of this can be expected.,,None,None
9SIA4RE4RT4150,35-118-145,9/15/2013 6:59:59 PM,Larry V.,Zalman Reserator 3 Max,1," This is a piece of junk, do not buy, I had H80i and my temp were at 27 degree celsius. With the Zalman cooler my temps are at 48 Celsius, I am returning it back for refund, what a loss.", Junk,,1,9
9SIA4RE4RT4150,35-118-145,9/12/2013 10:20:44 PM,Anonymous,"Entry level cooler, on par with air at stock speeds",4," Looks nice. No firmware updates or software. Working on par with my CM Hyper 212 Evo so far. Fits a 120mm exhaust. Lighted elements are a soft glow & not overpowering. Mounting is fairly simple. Hardware seems up to the task, no flimsy parts so far. Pump can run off a regular case-fan port, the fan is PWM running off the CPU-fan port."," Fan PWM cable could be longer. Fan is a little on the noisy side. Tubing is a little stiff & the length inhibits certain mounting directions. IMO, it could really use a shroud on the exhaust fan. (See comments for details.)"," Ok, so far after a couple hours of gaming, my FX-6300 @ 3.8Ghz is at 40C, according to HwInfo64. That's about what I was running previously with my Hyper 212 EVO. Mounting & installation is about the same as any aftermarket cooler - just with tubing management & mounting the rad & fan. The fan started out whisper quite, but right now it's doing just over 2K RPM, according to HwInfo. It does produce noticeable noise & is the loudest component in my case. But if you don't have PWM fans installed already, it'd probably be on-par with standard case fans. I haven't tested a push/pull config yet but I think it might be a good idea. As the fan isn't shrouded, the is a noticeable draft of air blowing out sideways from the first coil loop closest to the fan. (Gonna test this later to see if it really circulates air here to cool MB voltage regulators & chipsets like they hint at.) On the back of the case, I can't feel any exhaust air - not to say there isn't any, but I can't feel it behind my current setup. Also, I attribute the noise to the lack of shrouding. Just wrapping your hand around part of the radiator right behind the fan is enough to dampen much of the noise. So far it's working, but I'd put it at an entry level cooler. Will have to see how it does against overclocks & in a push/pull config. If you have just a stock cooler, this would be a nice way to upgrade if you want a little 'Wow' factor & have some extra cash.",4,5
9SIA4RE4RT4150,35-118-145,9/7/2013 10:53:30 PM,Dmitry R.,Welcome a new STAR!!!,5, 1. Cools really well...2. Easy installation...3. Best for AMD FX 83504. Very quite5. Did I mention all above?, What It is this? Get me out of here!," Birthday gift for my son... AMD FX-8350 Vishera 4.0GHz   GIGABYTE GA-970A-D3P AM3+ 4x of G.SKILL Sniper Gaming Series 8GBEVGA GTX 680 +FTW 4GBNZXT PhantomIntel 530 Series SSDSC2BW180A401 2.5"" 180GB Western Digital WD AV-GP WD10EURX 1TBASUS VG Series VG278H Black 27"" LCD 3D 120Hz Monitor w/ 3D glasses and speakers Win 7",4,7
9SIA66Z29E8183,2YM-0002-00001,2/18/2017 9:48:56 PM,Anonymous,Good but a couple issues,3," Performance, looks", Fitment could be better, Either the hoses are to long or the fan wires are to short..... If you mount it as a top mount the hoses are way to long and want to kink no matter how you twist and loop them......  If you mount it as a front mount the hoses fit perfectly...  And the fan plugs are way to short to reach the CPU fan headers...  Other then that running of the bios fan control it's almost silent at idle and general use on a I5 2500k clocked at 4.2Ghz keeping temps below 40C..... Under heavy gaming load fans kick up around 45C and the CPU doesn't see more then 46.... Very efficient.....Have not seen any cracking or leaking yet after a couple weeks that seems to get reported only time will tell......,None,None
9SIA66Z29E8183,2YM-0002-00001,8/28/2016 2:35:53 PM,Anonymous,Cracked case,1, Cools and looks good, Poor design," The acrylic cooling vessel cracked after est 3 months of use after purchase. Its a plug and play system, allowing little user error to come into play. This is fairly common if you do your research.",None,None
9SIA66Z29E8183,2YM-0002-00001,8/13/2016 6:20:06 PM,Jeff M.,Upated Review,1," Looks awesome your case.  Is keeping my Core i7 3770K nice and cool.  I have a mild overclock on it to 4.2Ghz, and after 11 hours of Prime 95, the CPU temp was 80 degrees.  If you use the bundled fans, they come prewired together.  Price was good."," Had to add coolant once before.  Contacted Rainjintek support, and they said it was normal to add coolant.  However, I always have wondered where the coolant went.  Today, I was adding coolant for a second time, and I found out.  Water was leaking out at the base of the fittings on the water block.  That my GPU has a back plate saved me, because water has been dripping on to the back of it.  I wiped off dried green coolant of my GPU.  As far as I can tell, my GTX 960 is none worse for the wear.That it leaked to me is the kiss of death. Do not buy."," To give more pop, I swapped the stock fans for 2 Cougar green LED fans. My Rig:Fractal Design Arc Midi R2  Intel Core i7 3770Corsiar H100i V2ASRock Z77 Extreme4Team Dark 8 GB DDR3 1600MSI GTX 960 ME EditionCrucial MX100 256 GB SSDSamsung 320GB HDLite-On DVD-REVGA 750B PS(3) Cougar 120MM Green LED Fans",1,1
9SIA66Z29E8183,2YM-0002-00001,6/7/2016 12:25:46 PM,samer y.,After 11 months of use,1," Looks good, that is pretty much it"," The fans very loud, had them replacedLiquid cooling does not work anymore. My CPU temp reaches 95 degree Celsius while watching youtube videosThe liquid makes very loud noise now, at first was so smooth, now you can hear the liquid going up and down the tubes (loud noise)"," I have contacted Raijintek, hopefully I will hear back from them, issuing me a replacement or something.",0,1
9SIA66Z29E8183,2YM-0002-00001,6/1/2016 4:01:54 PM,Wayne B.,"Product cools great, however",4, Easy to installCools greatLooks greatGood construction,"  One of the fans is bad, it runs but make a terrible noise at speed.Newegg wanted me to send the whole thing back when all it needs is a six dollar fan?Newegg decided to forward my issue to RAIJINTEK, so Lets see if they will send me a fan, I will update this when it's resolved.."," This unit looks and works great, one noisy fan does not ruin it....Edit: I replaced the fans with ARCTIC F12 PWM Rev. 2 which are 25 cfm less at full speed, however they are very quite compared with the stock fans. Edit: Manufacturer never responded, Newegg stepped up and gave me a replacement fan.Edit #2: RAIJINTEK sent me a new set of fans, so all is well",None,None
9SIA66Z29E8183,2YM-0002-00001,5/25/2016 2:51:09 AM,Tyler Z.,Very pleased! - UPDATE - Not anymore,1," *UPDATE* I no longer recommend this cooler to anyone.  It still looks great, performs well and offers customization, the cracking issue isn't limited to certain colors as I had previously suspected.  Perhaps it's a stress issue where the addition of another reservior could relieve this and prevent the cracking, but until Rajintek release 2.0 version or something with a redesigned block I would strongly advise looking elsewhere.Inexpensive, keeps my 4770k ice cold, looks amazing, expandable, just downright great.While idling, the fans don't even turn on and the system is completely silent. At load the fans have a bit more hum than the white noise of my 780s but still minimal."," *UPDATE* The acrylic on mine has finally cracked.  My case has inverted mounting for the motherboard so the CPU is on the bottom.  When I looked in my computer yesterday, I noticed there was a puddle sitting on the PSU.  I'm very thankful my motherboard is inverted or this puddle would have been on the back of one of my graphics cards.  As you can see from the previous text, I was very happy with this cooler and even thought that I had somehow avoided the cracking issue with miney...but no such luck anymore. A lot of people say the acrylic (""cheap plastic"" to some that know nothing about composites) had cracked but I've had mine for nearly a year and see no cracks forming.The tubes are quite long and prone to kinking as shipped.   They are, however, very easy to remove, trim and reattach."," *UPDATE* I have stopped the leak with some superglue for now as I wait for the components to build a custom loop.  The one I purchased for a friend is still installed but will be replaced by the weekend.  While these coolers perform very well and offer customizability, I simply can't recommend them...not unless you're only going to have it installed for a short period of time.  Some say they've had cracking only a couple of months in, I was lucky enough to have over a year, but there's no rhyme or reason to when or why it happens.Like I said in the cons, I trimmed the lines to the length I needed and pour everything back together.  It looks like a custom loop now since everything is fitted and routed very neatly.  I spilled some coolant and it was just low enough that the pump would occasionally push a lot of tiny bubbles through.  I ran it this way until more coolant arrived to top it off and the pump still runs just fine. Many months later. I am concerned by the number of reviewers with cracked acrylic blocks but have yet to see a single fracture after nearly year.  My concern is lessened because I have an Azza CSAZ GT 1 set up inverted so my CPU is at the bottom.",1,1
9SIA66Z29E8183,2YM-0002-00001,4/28/2016 10:03:26 PM,SHUPENG L.,disappoint,1, color is beautiful ., All the coolant leaked out!, the coolant leaked out. Unbelievable! And the cooling effect become worse and worse.,None,None
9SIA66Z29E8183,2YM-0002-00001,4/17/2016 4:36:22 AM,H&R C.,Excellent product,5," All in one product that's can expand wirh your budgetCompletely customizable Decent color options as well as radiator sizesWorks flawlesslyCup block has it's own pump (I added a 250mm reservoir and didnt need an additional pump, since the one I'm the block is obviously submersible. Though you should keep the reservoir at or below the level of your block for gravitational purposes).Cup block has 2 led's that are fairly bright"," The only flaw I see with this product, is that while you can change everything else, you can't remove the barbs from the cpu block or the radiator, so if you want to get a new radiator or block, you have to purchase fittings. If you change out everything like I did, (except the cpu block) then you can't change the fittngs. I purchased new titan rig fittings and was disappointed that I couldn't use them on my cup block, but that's trivial.I'be heard others say there's came with a leak, but mine has no issues. Make sure there's no condensation and do a leak test with a jumper outside of the case, just to be sure, and check the tightness of your fittings."," All in all a fantastic product for the price. Upgraded the radiator to a 480mm, added a 250mm radiator, added a gpu water block, changed the fluids to hydrx uv green liquid, uv green tubes, and titan rig compression fittings. This was absolutely worth the money. It costs the same or cheaper than all in ones that are closed loops, so I would go this direction for sure.P.S. - the compression fitting size is 3/8 id (inside diameter) by 1/2 od  (outside diameter) and standard G1/4 threading.",None,None
9SIA66Z29E8183,2YM-0002-00001,2/5/2016 9:44:03 PM,john s.,All you really need to know about this product is it will leak.,1, Cooled better than the Corsair H100i GTX I replaced it with., It WILL leak. The acrylic pump housing will crack from heat and vibration then it will leak on your graphics card within 6 months.," Read the reviews, most are edited later saying it cracked.When I drained mine and inspected it there were 4 separate cracks around the pump motor and one very large one on the outside of the case. Do you want to buy a new graphics card, because this item will make it happen within 6 months.",None,None
9SIA66Z29E8183,2YM-0002-00001,1/26/2016 7:47:44 PM,Daniel R.,Amazing,4," Looks amazing and the installation was easy. The flexible tubing allows for the block to be positioned very easily compared to other very stiff tubing on other AIO coolers. Mounting is easy and solid and overall very few complaints on this unit! Cools very well, I have it set to keep my CPU idling at 35c which is a tad high BUT I do this because the fans spin slow, and never once has my CPU gone over 55 at full load, amazing.","  Tubing is... long. I don't know why its THIS long. I have a full tower case and theres an excess of tubing that bends onto the window of my case. Raijintek should take a good .5"" to 1"" off of the tubing. Annoying, but not enough to take an egg off.Another note is that I had emailed Raijintek on whether or not the packaging for the Triton had been fixed as many users were reporting leaking due to the transport of the unit in shipping. Due to the packaging not being very stellar, the block would get damaged. Raijintek had emailed me back saying they did fix the packaging and ACKNOWLEDGED the original packaging was bad. Other sites had also AFFIRMED that Raijintek had told them they were fixing the packaging. However, when my unit had arrived the packaging looked identical to everything i had seen from reviews with a single flimsy foam shaped block for the water coolers block and just cardboard... Buyers beware, I expect there may still be some chance your unit may arrive damaged PLEASE inspect before installing. I almost took an egg off for this but I'm very pleased because mine arrived undamaged and works well.EDIT: 6 months after owning this product, the cpu block/reservoir acrylic cracked very randomly. After working perfectly I came home after my computer was OFF for two days to find the block had cracked and leaked. I'm very lucky to own a Silverstone case where my graphics card is mounted away from  harm. Raijintek did, however, send a replacement block with express shipping with included dyes and liquid, so good on them for their quality service, still, I'm docking an egg for this reason, should NOT happen."," Some tips. One, Raijintek suggests you use the included 'spreader' tool to spread thermal paste. Don't do this, its a terrible way to spread thermal paste. Get a nice tube of IC Diamond or Artic Silver or whatever is your choice. Put a small (about the size of an uncooked grain of rice) dab in the middle of your cpu and install the block onto it. The flat nickle of the waterblock will evenly spread the paste for you.Second, connect the pump's power (the 3 pin fan header) to a molex power supply connector using a converter. The pump is super silent so its no issue if it runs at 100%.Third and last, buy some other static pressure fans, I went with Corsair's Green LED SP fans, they work amazingly, and only add more flare to the cooler.",None,None
9SIA66Z29E8183,2YM-0002-00001,1/14/2016 9:57:52 AM,Harold L.,Disappointed,2, Lasted a year. Was my first and last water cooler.," Red fluid cooler was a very pale red, not like the bright red in the pictures. Lasted 12 months then the water pump died. Luckily I caught it quickly and put the stock intel air cooler on. Now looking for a replacement air cooler, think I will stay away from water coolers."," The fan controller broke off, tried to soldering it back on but it this didn't last long. Ended up replacing the fans for the radiator with some aftermarket fans.",1,2
9SIA66Z29E8183,2YM-0002-00001,1/2/2016 3:27:59 AM,silvino r.,Worked great for couple months...but...,4, Looks greateasy install," tubing is skittish, can kink easilymounting the radiator was a huge hassle. I could not mount it using screws, had to resort to zip ties. Though I don't think its the products fault, it might just be my case??? Im not sure. But installing aftermarket fans (corsair SP120) were a pain and only 3/4 and sometimes 2/4 screws would be able to screw into the rad. I do think it's the rad itself leading to these mounting problems but im not 100% sure. "," WATER BLOCK CRACKED 5 MONTHS INTO USE...Yes, the waterblock itself cracked underneath and overtime the red-dyed water began dripping onto my GPU. I hadn't noticed until I was bored one day and decided to open my case and notice my GPU circuit bored and MOBO was covered in this red-dried liquid. I immediately contacted Raijinitek about the issue and they sent me a replacement block along with new coolant and 3 dyes (yellow,blue and red) I also lost the mounting screws to mount the waterblock and emailed them asking if I could recieve any replacements and they sent me the screws within the same day. Though the waterblock may have just been a random occurence, I commend Raijinitek and their awesome customer service and fast replies.",0,1
9SIA66Z29E8183,2YM-0002-00001,12/3/2015 11:22:07 PM,Bre R.,Great cooler,5," I love this cooler! I has brought my cpu temps down to a great cold level, even when I'm pushing it with a new game. I also liked the ease of installation, it was soo simple!"," So far I haven't found anything to complain about, I love it!", I will be buying another soon for another build!,None,None
9SIA66Z29E8183,2YM-0002-00001,11/30/2015 3:17:05 AM,Seth S.,Raijintek water cool,5," Looks great and keeps my APU cool, even on low fan speed."," Hoses are a tad long making amature instillation challenging, they like to kink."," Was thinking it would light up with more green, but also had no idea what I was getting into with my build.",None,None
9SIA66Z29E8183,2YM-0002-00001,11/30/2015 3:16:13 AM,Seth S.,Raijintek water cool,5," Looks great and keeps my APU cool, even on low fan speed."," Hoses are a tad long making amature instillation challenging, they like to kink."," Was thinking it would light up with more green, but also had no idea what I was getting into with my build.",1,1
9SIA66Z29E8183,2YM-0002-00001,11/4/2015 3:35:25 PM,Jared R.,WAS GREAT UNTIL IT QUIT,1," Quiet, Keeps things cool, looks great with my UV setup and was really easy to install"," Broke after 6 months. The pump just went out and my CPU overheated. Too bad really, I was a big advocate for this company when they started out and no one knew who they were.", I guess there's a risk involved with this product. I had heard some bad stories but thought i dodged a bullet. Guess not,3,4
9SIA66Z29E8183,2YM-0002-00001,10/28/2015 4:02:49 AM,Anonymous,8 months in,2, It looks great, Not for a long run," When I first got it, it looked awesome and nice. I noticed it had a lil less water and not full in the reservoir but I didn't mind it thinking it was suppose to be like that. Now the problem is worst because it doesn't even have enough water for the heat to cool off and ends up overheating the motherboard or the CPU. I wish I could either trade it in or refurbish it.",5,6
9SIA66Z29E8183,2YM-0002-00001,10/6/2015 6:28:38 PM,alan d.,Iffy at best!,1, Before it started leaking it did its job., After six days of use the plastic pump block on the cpu developed a crack and leaked all over my video card. I manged to catch it early and saved my r9 270. No damage was done to the main board. I'm not sure if its pump vibration or the cpu heat., I replaced it with a Corsair h100i gtx hopefully I will have a longer life on that.,5,5
9SIA66Z29E8183,2YM-0002-00001,9/13/2015 9:10:18 PM,Daniel W.,be carecfull!,2, cools well, 5 months of use and huge crack in reservoir leaking on graphics card  very sad do research they do it alot ...i was to late... and hoses pinch real easy, would like new reservoir and fluid sent to me but doubt it will happen,5,5
9SIA66Z29E8183,2YM-0002-00001,8/23/2015 10:25:03 AM,Anonymous,,1, worked great and looked awesome for about a weel, started leaking and ruined my system after about a week,,2,3
9SIA66Z29E8183,2YM-0002-00001,8/21/2015 12:53:17 AM,Aaron P.,Solid,5, -Solid performance-Expandable-Pump-Bling-Cost," At this time, I can't honestly think of a single con for this aio."," If looking for something different amongst the masses of aio, the Triton is worthy of taking a look at. It features solid performance, a powerful pump capable of expansion, and aesthetics that will make any nerd drool. If you're on the fence about this aio, pull the trigger. You'll be happy you did.",1,2
9SIA66Z29E8183,2YM-0002-00001,8/20/2015 8:33:48 AM,Nicholas G.,LEAKS!! DONT BUY,1, NONE, Started leaking one day while my computer was on.. the block where the pump is had a small crack and leaked liquid all over my 770 GTX GPU and shorted my video card. I hope this company refunds me for my card the $100 I spent on the product it self., I would not buy this product. Its worthless,3,3
9SIA66Z29E8183,2YM-0002-00001,7/26/2015 1:01:46 PM,Anonymous,Good at first,1, Easy to install and looks good. Keeps my OC A10 cool also has the ability to expand., Three days the fans die. One month the resivor cracked and leaked on my graphics  card and power supply. Also even without Crack it would only last around a year with copper and aluminum mixed.,,2,2
9SIA66Z29E8183,2YM-0002-00001,6/11/2015 7:29:00 PM,Corin M.,Very nice!,4, - Great looking- Works the way it should and better- Fairly easy install, - Tubes are a bit long- Fans are noisy- Didn't come with the 3-pin connector for fans- Metal bracket doesn't seem too secure," I had bought this on NeweggFlash mainly because my old liquid cooler was a bit outdated by a few years. Noticed CPU heat was climbing and staying. So I ordered this nice looking liquid cooling system and got it within 3 days. After install, noticed the metal bracket is a bit loose or doesn't tighten too well, but it seems to stay without rattle. The waterblock also seemed a bit wobbly so i just used some electrical tap around the base of the block. It was the only thing available to me at the time. That seemed to stop it from shifting about. Next was the length of the tubes. They are a bit long and I'm sure I could shorten them but I'm not too worried. After running my PC I noticed the noise from the fans instantly and had to change them immediately. Note to reader, If you plan on buying this, buy 2 other fans as well unless you have 2 to spare. The stock fans are just way too noisy for my liking. Other than that it does the job well, my PC is running very cool with CPU being as low as 60 - 70 degrees. When replacing the stock fans, the instructions said there was connector cables but I did not receive any. Luckily I had a connector cable for the 2 fan replacements to spare.After reading a few reviews it was a bit uneasy buying this but I am not regretting on buying it. It looks cool and does the job.",2,3
9SIA66Z29E8183,2YM-0002-00001,5/25/2015 7:56:33 AM,Anonymous,So far so good,5, Looks great and does what its made to do. No leaks!!, None,,1,2
9SIA66Z29E8183,2YM-0002-00001,5/14/2015 2:50:28 PM,Anonymous,Waiting for arrival.,5, I hope the leaks are from operators error., None so far.,,1,6
9SIA66Z29E8183,2YM-0002-00001,4/17/2015 6:48:45 PM,James B.,Great all in one,5," Easy Install, all in one, clear instructions. Keeps my overclocked CPU running under 30c at all times with fans set to low speed", hoses are a bit long for most mid towers., I replaced the stock fans with low noise fans( they weren't particularly loud just preference),0,1
9SIA66Z29E8183,2YM-0002-00001,4/16/2015 5:32:56 PM,Jose V.,great,5, it looks great, nothin,,0,1
9SIA66Z29E8183,2YM-0002-00001,4/6/2015 5:11:33 PM,Tomas A.,This cooler broke my GPU,3," It was very good at cooling, and looks really cool with lights."," The thing is, one day it started leaking and it dripped onto my vram chips on my GTX 970. My computer crashed and I had to get my GTX replaced. I threw my cooler away and have been using air cooling ever since.",,2,4
